,path,type,rotation,final_col
0,./boards/video1/left/2024-01-26_16;13;13;0404.png,J,3,"(18, 0)"
1,./boards/video1/left/2024-01-26_16;13;14;0468.png,J,3,"(18, 0)"
2,./boards/video1/left/2024-01-26_16;13;14;0602.png,J,3,"(18, 0)"
3,./boards/video1/left/2024-01-26_16;13;14;0969.png,J,3,"(18, 0)"
4,./boards/video1/left/2024-01-26_16;13;15;0103.png,J,3,"(18, 0)"
5,./boards/video1/left/2024-01-26_16;13;15;0221.png,J,3,"(18, 0)"
6,./boards/video1/left/2024-01-26_16;13;15;0355.png,J,3,"(18, 0)"
7,./boards/video1/left/2024-01-26_16;13;15;0473.png,J,3,"(18, 0)"
8,./boards/video1/left/2024-01-26_16;13;15;0608.png,J,3,"(18, 0)"
9,./boards/video1/left/2024-01-26_16;13;15;0742.png,J,3,"(18, 0)"
10,./boards/video1/left/2024-01-26_16;13;16;0002.png,T,3,"(18, 3)"
11,./boards/video1/left/2024-01-26_16;13;16;0136.png,T,3,"(18, 3)"
12,./boards/video1/left/2024-01-26_16;13;16;0255.png,T,3,"(18, 3)"
13,./boards/video1/left/2024-01-26_16;13;16;0456.png,T,3,"(18, 3)"
14,./boards/video1/left/2024-01-26_16;13;16;0590.png,T,3,"(18, 3)"
15,./boards/video1/left/2024-01-26_16;13;16;0725.png,T,3,"(18, 3)"
16,./boards/video1/left/2024-01-26_16;13;16;0858.png,T,3,"(18, 3)"
17,./boards/video1/left/2024-01-26_16;13;17;0152.png,L,3,"(17, 1)"
18,./boards/video1/left/2024-01-26_16;13;17;0270.png,L,3,"(17, 1)"
19,./boards/video1/left/2024-01-26_16;13;17;0404.png,L,3,"(17, 1)"
20,./boards/video1/left/2024-01-26_16;13;17;0538.png,L,3,"(17, 1)"
21,./boards/video1/left/2024-01-26_16;13;17;0672.png,L,3,"(17, 1)"
22,./boards/video1/left/2024-01-26_16;13;17;0807.png,L,3,"(17, 1)"
23,./boards/video1/left/2024-01-26_16;13;17;0941.png,L,3,"(17, 1)"
24,./boards/video1/left/2024-01-26_16;13;18;0268.png,O,1,"(18, 7)"
25,./boards/video1/left/2024-01-26_16;13;18;0404.png,O,1,"(18, 7)"
26,./boards/video1/left/2024-01-26_16;13;18;0538.png,O,1,"(18, 7)"
27,./boards/video1/left/2024-01-26_16;13;18;0672.png,O,1,"(18, 7)"
28,./boards/video1/left/2024-01-26_16;13;18;0807.png,O,1,"(18, 7)"
29,./boards/video1/left/2024-01-26_16;13;18;0940.png,O,1,"(18, 7)"
30,./boards/video1/left/2024-01-26_16;13;19;0077.png,O,1,"(18, 7)"
31,./boards/video1/left/2024-01-26_16;13;19;0368.png,O,1,"(16, 7)"
32,./boards/video1/left/2024-01-26_16;13;19;0487.png,O,1,"(16, 7)"
33,./boards/video1/left/2024-01-26_16;13;19;0604.png,O,1,"(16, 7)"
34,./boards/video1/left/2024-01-26_16;13;19;0738.png,O,1,"(16, 7)"
35,./boards/video1/left/2024-01-26_16;13;19;0873.png,O,1,"(16, 7)"
36,./boards/video1/left/2024-01-26_16;13;20;0007.png,O,1,"(16, 7)"
37,./boards/video1/left/2024-01-26_16;13;20;0142.png,O,1,"(16, 7)"
38,./boards/video1/left/2024-01-26_16;13;20;0435.png,L,3,"(16, 0)"
39,./boards/video1/left/2024-01-26_16;13;20;0553.png,L,3,"(16, 0)"
40,./boards/video1/left/2024-01-26_16;13;20;0671.png,L,3,"(16, 0)"
41,./boards/video1/left/2024-01-26_16;13;20;0788.png,L,3,"(16, 0)"
42,./boards/video1/left/2024-01-26_16;13;20;0922.png,L,3,"(16, 0)"
43,./boards/video1/left/2024-01-26_16;13;21;0057.png,L,3,"(16, 0)"
44,./boards/video1/left/2024-01-26_16;13;21;0191.png,L,3,"(16, 0)"
45,./boards/video1/left/2024-01-26_16;13;21;0553.png,Z,2,"(14, 1)"
46,./boards/video1/left/2024-01-26_16;13;21;0669.png,Z,2,"(14, 1)"
47,./boards/video1/left/2024-01-26_16;13;21;0787.png,Z,2,"(14, 1)"
48,./boards/video1/left/2024-01-26_16;13;21;0921.png,Z,2,"(14, 1)"
49,./boards/video1/left/2024-01-26_16;13;22;0056.png,Z,2,"(14, 1)"
50,./boards/video1/left/2024-01-26_16;13;22;0191.png,Z,2,"(14, 1)"
51,./boards/video1/left/2024-01-26_16;13;22;0535.png,O,1,"(14, 7)"
52,./boards/video1/left/2024-01-26_16;13;22;0671.png,O,1,"(14, 7)"
53,./boards/video1/left/2024-01-26_16;13;22;0838.png,O,1,"(14, 7)"
54,./boards/video1/left/2024-01-26_16;13;22;0972.png,O,1,"(14, 7)"
55,./boards/video1/left/2024-01-26_16;13;23;0107.png,O,1,"(14, 7)"
56,./boards/video1/left/2024-01-26_16;13;23;0469.png,I,2,"(16, 6)"
57,./boards/video1/left/2024-01-26_16;13;23;0586.png,I,2,"(16, 6)"
58,./boards/video1/left/2024-01-26_16;13;23;0704.png,I,2,"(16, 6)"
59,./boards/video1/left/2024-01-26_16;13;23;0820.png,I,2,"(16, 6)"
60,./boards/video1/left/2024-01-26_16;13;23;0956.png,I,2,"(16, 6)"
61,./boards/video1/left/2024-01-26_16;13;24;0090.png,I,2,"(16, 6)"
62,./boards/video1/left/2024-01-26_16;13;24;0224.png,I,2,"(16, 6)"
63,./boards/video1/left/2024-01-26_16;13;24;0359.png,I,2,"(16, 6)"
64,./boards/video1/left/2024-01-26_16;13;24;0619.png,O,1,"(12, 7)"
65,./boards/video1/left/2024-01-26_16;13;24;0736.png,O,1,"(12, 7)"
66,./boards/video1/left/2024-01-26_16;13;24;0871.png,O,1,"(12, 7)"
67,./boards/video1/left/2024-01-26_16;13;25;0006.png,O,1,"(12, 7)"
68,./boards/video1/left/2024-01-26_16;13;25;0141.png,O,1,"(12, 7)"
69,./boards/video1/left/2024-01-26_16;13;25;0468.png,S,2,"(16, 4)"
70,./boards/video1/left/2024-01-26_16;13;25;0587.png,S,2,"(16, 4)"
71,./boards/video1/left/2024-01-26_16;13;25;0704.png,S,2,"(16, 4)"
72,./boards/video1/left/2024-01-26_16;13;25;0821.png,S,2,"(16, 4)"
73,./boards/video1/left/2024-01-26_16;13;25;0939.png,S,2,"(16, 4)"
74,./boards/video1/left/2024-01-26_16;13;26;0074.png,S,2,"(16, 4)"
75,./boards/video1/left/2024-01-26_16;13;26;0208.png,S,2,"(16, 4)"
76,./boards/video1/left/2024-01-26_16;13;26;0569.png,L,4,"(9, 7)"
77,./boards/video1/left/2024-01-26_16;13;26;0687.png,L,4,"(9, 7)"
78,./boards/video1/left/2024-01-26_16;13;26;0804.png,L,4,"(9, 7)"
79,./boards/video1/left/2024-01-26_16;13;26;0939.png,L,4,"(9, 7)"
80,./boards/video1/left/2024-01-26_16;13;27;0335.png,O,1,"(14, 3)"
81,./boards/video1/left/2024-01-26_16;13;27;0454.png,O,1,"(14, 3)"
82,./boards/video1/left/2024-01-26_16;13;27;0570.png,O,1,"(14, 3)"
83,./boards/video1/left/2024-01-26_16;13;27;0705.png,O,1,"(14, 3)"
84,./boards/video1/left/2024-01-26_16;13;27;0840.png,O,1,"(14, 3)"
85,./boards/video1/left/2024-01-26_16;13;27;0976.png,O,1,"(14, 3)"
86,./boards/video1/left/2024-01-26_16;13;28;0303.png,T,4,"(14, 5)"
87,./boards/video1/left/2024-01-26_16;13;28;0421.png,T,4,"(14, 5)"
88,./boards/video1/left/2024-01-26_16;13;28;0555.png,T,4,"(14, 5)"
89,./boards/video1/left/2024-01-26_16;13;28;0689.png,T,4,"(14, 5)"
90,./boards/video1/left/2024-01-26_16;13;28;0823.png,T,4,"(14, 5)"
91,./boards/video1/left/2024-01-26_16;13;28;0959.png,T,4,"(14, 5)"
92,./boards/video1/left/2024-01-26_16;13;29;0303.png,Z,2,"(12, 1)"
93,./boards/video1/left/2024-01-26_16;13;29;0419.png,Z,2,"(12, 1)"
94,./boards/video1/left/2024-01-26_16;13;29;0539.png,Z,2,"(12, 1)"
95,./boards/video1/left/2024-01-26_16;13;29;0671.png,Z,2,"(12, 1)"
96,./boards/video1/left/2024-01-26_16;13;29;0807.png,Z,2,"(12, 1)"
97,./boards/video1/left/2024-01-26_16;13;29;0941.png,Z,2,"(12, 1)"
98,./boards/video1/left/2024-01-26_16;13;30;0202.png,Z,2,"(12, 1)"
99,./boards/video1/left/2024-01-26_16;13;30;0319.png,Z,2,"(12, 1)"
100,./boards/video1/left/2024-01-26_16;13;30;0437.png,Z,2,"(12, 1)"
101,./boards/video1/left/2024-01-26_16;13;30;0554.png,Z,2,"(12, 1)"
102,./boards/video1/left/2024-01-26_16;13;30;0690.png,Z,2,"(12, 1)"
103,./boards/video1/left/2024-01-26_16;13;30;0823.png,Z,2,"(12, 1)"
104,./boards/video1/left/2024-01-26_16;13;30;0957.png,Z,2,"(12, 1)"
105,./boards/video1/left/2024-01-26_16;13;31;0220.png,Z,2,"(12, 1)"
106,./boards/video1/left/2024-01-26_16;13;31;0337.png,Z,2,"(12, 1)"
107,./boards/video1/left/2024-01-26_16;13;31;0471.png,Z,2,"(12, 1)"
108,./boards/video1/left/2024-01-26_16;13;31;0588.png,Z,2,"(12, 1)"
109,./boards/video1/left/2024-01-26_16;13;31;0707.png,Z,2,"(12, 1)"
110,./boards/video1/left/2024-01-26_16;13;31;0841.png,Z,2,"(12, 1)"
111,./boards/video1/left/2024-01-26_16;13;31;0975.png,Z,2,"(12, 1)"
112,./boards/video1/left/2024-01-26_16;13;32;0141.png,Z,2,"(12, 1)"
113,./boards/video1/left/2024-01-26_16;13;32;0273.png,Z,2,"(12, 1)"
114,./boards/video1/left/2024-01-26_16;13;32;0408.png,Z,2,"(12, 1)"
115,./boards/video1/left/2024-01-26_16;13;32;0542.png,Z,2,"(12, 1)"
116,./boards/video1/left/2024-01-26_16;13;32;0669.png,Z,2,"(12, 1)"
117,./boards/video1/left/2024-01-26_16;13;32;0787.png,Z,2,"(12, 1)"
118,./boards/video1/left/2024-01-26_16;13;32;0904.png,Z,2,"(12, 1)"
119,./boards/video1/left/2024-01-26_16;13;33;0022.png,Z,2,"(12, 1)"
120,./boards/video1/left/2024-01-26_16;13;33;0158.png,Z,2,"(12, 1)"
121,./boards/video1/left/2024-01-26_16;13;33;0291.png,Z,2,"(12, 1)"
122,./boards/video1/left/2024-01-26_16;13;33;0426.png,Z,2,"(12, 1)"
123,./boards/video1/left/2024-01-26_16;13;33;0686.png,Z,2,"(12, 1)"
124,./boards/video1/left/2024-01-26_16;13;33;0821.png,Z,2,"(12, 1)"
125,./boards/video1/left/2024-01-26_16;13;33;0939.png,Z,2,"(12, 1)"
126,./boards/video1/left/2024-01-26_16;13;34;0072.png,Z,2,"(12, 1)"
127,./boards/video1/left/2024-01-26_16;13;34;0208.png,Z,2,"(12, 1)"
128,./boards/video1/left/2024-01-26_16;13;34;0344.png,Z,2,"(12, 1)"
